Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
28,45,1.5,1.602750063,14.11200047,0.247565567,33.36690521,81.5,127.3526317,36.3643516,0,9.851842308,0.366802901,0.04896292,9.799676514,0.366555142,0.048635043,-7.680561781,1013.108691,-0.000511,-0.001180803,0.000649,-0.993440846,-0.0188529,-0.000356,0.112777199,-0.004962882,-0.037386931,2.915423882,825,0.051088285,0.000248,-0.00051,-68.05263158,3228.315789,-959.9737358,-1295.673729,-224.1074953,1,1,1,1,0,99,2432,1
29,45,1.5,1.602750063,14.11200047,0.247565567,33.36690521,81.5,127.3526317,36.3643516,0,9.839272308,0.367880325,0.045491222,9.799714231,0.365647046,0.047800043,-7.764321899,1013.118823,-0.000546,-0.001067456,0.000621,-0.993483895,-0.01880195,-0.000326,0.1124058,-0.004877659,-0.037294266,2.916173601,825,0.039677858,0.002951561,8.55E-05,-68.05263158,3228.315789,-960.0564467,-1295.692907,-224.9964644,1,1,1,1,0,99,2432,1
30,45,1.5,1.602750063,14.11200047,0.247565567,33.36690521,81.5,127.3526317,36.3643516,0,9.821913862,0.365845191,0.046688359,9.799759054,0.364552903,0.046949916,-7.775683594,1013.120166,-0.000364,-0.000674,0.000424,-0.9935094,-0.01874155,-0.000293,0.112190751,-0.00479089,-0.037182617,2.916608679,825,0.021795511,0.001052861,0.001055294,-68.05263158,3228.315789,-960.3352733,-1295.378799,-224.9717614,1,1,1,1,0,99,2432,1
31,45,1.5,1.602750063,14.11200047,0.247565567,33.36690521,81.5,127.3526317,36.3643516,0,9.815808392,0.363450916,0.043575801,9.799725342,0.365686777,0.045185936,-7.785195923,1013.12124,-0.000303,-0.000583,0.000393,-0.993524453,-0.0187889,-0.0002,0.11204955,-0.004610906,-0.037298321,2.916895819,825,0.012371874,-0.001517579,-0.000413,-68.05263158,3228.315789,-960.1499863,-1295.467476,-224.9474964,1,1,1,1,0,99,2432,1
32,45,1.5,1.651685834,13.82400036,0.182525292,10.56410122,81.5,127.3526328,36.3643576,0,9.809822702,0.365605763,0.04321666,9.799780941,0.364461043,0.042990969,-7.788102388,1013.121631,-0.00012,-0.000766,0.000668,-0.993541011,-0.0187142,-9.82E-05,0.11191575,-0.004386903,-0.037173244,2.917169964,825,0.014710617,-0.001129842,0.001422829,-68.05263158,3228.315789,-960.3070427,-1295.527035,-225.2294069,1,1,1,1,0,99,2432,1
33,45,1.5,1.651685834,13.82400036,0.182525292,10.56410122,81.5,127.3526328,36.3643576,0,9.803837061,0.363211486,0.044174371,9.799781227,0.364398076,0.043427472,-7.763265085,1013.118677,-8.38E-05,-0.000412,0.000353,-0.993546301,-0.0187135,-0.000122,0.1118668,-0.004431444,-0.037166819,2.917267537,825,0.008485174,-0.000947,0.002183463,-68.05263158,3228.315789,-960.3141013,-1295.685863,-225.2823486,1,1,1,1,0,99,2432,1
34,45,1.5,1.651685834,13.82400036,0.182525292,10.56410122,81.5,127.3526328,36.3643576,0,9.805034208,0.365126908,0.042378664,9.799784136,0.364526168,0.04166858,-7.705663443,1013.111694,-4.76E-05,9.71E-05,-2.32E-05,-0.993545744,-0.01870995,-3.15E-05,0.1118741,-0.004251963,-0.03717989,2.917256308,825,0.004292297,0.003593582,-0.003120755,-68.05263158,3228.315789,-960.0262299,-1295.602463,-225.2887459,1,1,1,1,0,99,2432,1
35,45,1.5,1.651685834,13.82400036,0.182525292,10.56410122,81.5,127.3526328,36.3643576,0,9.805992031,0.363450916,0.040104103,9.799749517,0.365456036,0.041573458,-7.69033823,1013.109839,7.45E-05,9.71E-05,0.000465,-0.993537456,-0.01875655,-2.02E-05,0.111938949,-0.004242271,-0.037274777,2.91712544,825,0.006122732,-0.000569,0.002002344,-68.05263158,3228.315789,-960.1023308,-1295.590562,-225.1764661,1,1,1,1,0,99,2432,1
36,45,1.5,1.651685834,13.82400036,0.182525292,10.56410122,81.5,127.3526328,36.3643576,0,9.802161169,0.36321149,0.038787252,9.799817991,0.36385714,0.03953499,-7.76590724,1013.118945,-0.000109,-0.000117,9.90E-05,-0.993535498,-0.01866385,7.46E-05,0.111972701,-0.004034236,-0.03711162,2.917062163,825,0.003420496,-0.000885,0.00033,-68.05263158,3228.315789,-960.1976247,-1295.707046,-224.922348,1,1,1,1,0,99,2432,1
37,0,1.5,1.666327596,13.62800026,0.038256302,0,81.5,127.3526331,36.3643552,0,9.806710148,0.367401466,0.039744962,9.799792433,0.364587769,0.039082505,-7.771191835,1013.11958,5.49E-05,0.000106,2.50E-05,-0.993529049,-0.0186983,0.000103,0.112022902,-0.003988075,-0.037186175,2.916961563,825,0.009431791,-5.94E-05,-0.000774,-68.05263158,3228.315789,-960.3749809,-1295.718719,-225.1987467,1,1,1,1,0,99,2432,1
38,0,1.5,1.666327596,13.62800026,0.038256302,0,81.5,127.3526331,36.3643552,0,9.807548237,0.366563475,0.039744962,9.799749041,0.365782614,0.038827138,-7.840947771,1013.127905,0.000223,-8.67E-05,8.67E-05,-0.993522799,-0.0187574,0.000123,0.1120696,-0.003962034,-0.0373081,2.916867673,825,0.005404854,-0.004845686,-0.000519,-68.05263158,3228.315789,-960.3141049,-1295.671739,-224.9294093,1,1,1,1,0,99,2432,1
39,0,1.5,1.666327596,13.62800026,0.038256302,0,81.5,127.3526331,36.3643552,0,9.806470728,0.367760611,0.035435267,9.799791145,0.364686963,0.03846809,-7.778590107,1013.120483,-0.000144,9.65E-05,2.57E-05,-0.993519002,-0.0186998,0.000136,0.112113201,-0.003925379,-0.037196297,2.916781032,825,0.011707497,-0.000637,0.000918,-68.05263158,3228.315789,-960.0246869,-1295.597628,-224.8305844,1,1,1,1,0,99,2432,1
