Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
23,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.810181856,0.010415095,-0.439828284,9.796806479,0.015562374,-0.439006579,-0.351688004,1008.064185,-0.000123,0.000108,6.72e-05,-0.7246889,0.01484795,0.0167757,0.688710749,0.044781234,-0.001586921,1.621729344,369.0,0.013375378,-0.005147279,-0.000822,-62.41071429,3906.125,-39.95294055,-3.049411704,-43.63411645,1,1,1,1,0,99.0,5500.0,1
24,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.806710196,0.0156825,-0.440546568,9.796780443,0.014665902,-0.439619741,-0.240976715,1008.050903,-6.17e-05,-0.000167,0.000281,-0.724714804,0.014902,0.01676745,0.688682696,0.044843816,-0.001495506,1.621803969,369.0,0.009929752,0.001016598,-0.000927,-62.41071429,3906.125,-39.97499919,-3.112499937,-43.49999905,1,1,1,1,0,99.0,5500.0,1
25,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.80347805,0.013886794,-0.441145134,9.796777201,0.015087265,-0.43967718,-0.228822327,1008.049438,-0.000184,0.00026,9.77e-05,-0.724704149,0.0148887,0.01678415,0.688693705,0.044849682,-0.001538474,1.621774149,369.0,0.007658529,-0.000722,-0.000391,-62.41071429,3906.125,-39.91058754,-3.003529338,-43.34117553,1,1,1,1,0,99.0,5500.0,1
26,45.0,1.5,1.348932028,11.47599983,0.469087213,243.0401154,106.0,127.3654043,36.3742543,0.0,9.808146763,0.014126222,-0.441384561,9.796718359,0.0157534,-0.440962583,-0.318130875,1008.060107,-5.96e-05,0.00026,3.41e-05,-0.724703252,0.01490925,0.0168551,0.688692552,0.044980893,-0.0016064,1.621776354,369.0,0.010111523,-0.000789,0.000177,-62.41071429,3906.125,-40.10823485,-3.028235211,-43.61646966,1,1,1,1,0,99.0,5500.0,1
27,45.0,1.5,1.324070454,11.48200035,0.383243024,61.54262161,106.0,127.3654254,36.3742635,0.0,9.799168348,0.017837347,-0.444257689,9.796789169,0.017960889,-0.439302403,-0.327907181,1008.061328,-1.95e-05,-0.000104,-7.57e-05,-0.724634796,0.014771,0.01686975,0.688767254,0.044811449,-0.001831502,1.621578652,369.0,0.002379179,-0.000124,-0.004955286,-62.41071429,3906.125,-39.90749931,-2.981249928,-43.60874891,1,1,1,1,0,99.0,5500.0,1
28,45.0,1.5,1.324070454,11.48200035,0.383243024,61.54262161,106.0,127.3654254,36.3742635,0.0,9.800365353,0.014964218,-0.442102845,9.796700382,0.016851212,-0.441320361,-0.33213501,1008.061792,0.000286,0.00014,0.00026,-0.724614945,0.0148834,0.016905,0.688784793,0.045017422,-0.001718346,1.62152341,369.0,0.00366497,-0.001886994,-0.000782,-62.41071429,3906.125,-39.81882252,-3.229411672,-43.5882344,1,1,1,1,0,99.0,5500.0,1
29,45.0,1.5,1.324070454,11.48200035,0.383243024,61.54262161,106.0,127.3654254,36.3742635,0.0,9.799527502,0.0156825,-0.442821124,9.796820545,0.016109979,-0.438670842,-0.398456573,1008.069727,-1.95e-05,0.000323,4.64e-05,-0.724609396,0.01481785,0.0167808,0.688795149,0.044746968,-0.001642761,1.621498913,369.0,0.002706957,-0.000427,-0.004150282,-62.41071429,3906.125,-39.95646959,-3.24352932,-43.54941088,1,1,1,1,0,99.0,5500.0,1
30,45.0,1.5,1.324070454,11.48200035,0.383243024,61.54262161,106.0,127.3654254,36.3742635,0.0,9.796654367,0.010534809,-0.439588855,9.796716309,0.016945924,-0.440963191,-0.404797363,1008.070508,4.15e-05,0.000109,4.64e-05,-0.724586448,0.01486805,0.0168945,0.688815242,0.044980965,-0.001728004,1.621440029,369.0,-6.19e-05,-0.006411115,0.001374336,-62.41071429,3906.125,-39.89624882,-3.221249923,-43.24874949,1,1,1,1,0,99.0,5500.0,1
31,45.0,1.5,1.324070454,11.48200035,0.383243024,61.54262161,106.0,127.3654254,36.3742635,0.0,9.806829834,0.01664021,-0.44126485,9.796767855,0.016992245,-0.439809875,-0.403740311,1008.070386,8.15e-05,0.000199,-9.05e-05,-0.724628046,0.0148248,0.01685435,0.688773498,0.044863241,-0.001732728,1.62155804,369.0,0.010061979,-0.000352,-0.001454975,-62.41071429,3906.125,-40.04470489,-3.052941112,-43.63764662,1,1,1,1,0,99.0,5500.0,1
32,45.0,1.5,1.350277662,11.47500038,0.846720695,244.1966095,106.0,127.3653796,36.3742456,0.0,9.806590509,0.015323359,-0.444975972,9.796794033,0.016643253,-0.439246206,-0.375204849,1008.066968,-0.000104,0.000258,-9.29e-05,-0.724619696,0.0148181,0.01682105,0.688783258,0.044805702,-0.00169714,1.621531564,369.0,0.009796476,-0.001319894,-0.005729766,-62.41071429,3906.125,-39.96705785,-3.314117572,-43.62352842,1,1,1,1,0,99.0,5500.0,1
33,45.0,1.5,1.350277662,11.47500038,0.846720695,244.1966095,106.0,127.3653796,36.3742456,0.0,9.80180192,0.015562786,-0.438272004,9.796745777,0.017277475,-0.440293433,-0.41721611,1008.072021,-0.000166,-7.76e-05,-3.18e-05,-0.724632001,0.01483115,0.01688235,0.688768503,0.044912603,-0.001761813,1.621571398,369.0,0.005056143,-0.001714688,0.002021429,-62.41071429,3906.125,-40.04249907,-3.086249918,-43.64624929,1,1,1,1,0,99.0,5500.0,1
34,45.0,1.5,1.350277662,11.47500038,0.846720695,244.1966095,106.0,127.3653796,36.3742456,0.0,9.799407673,0.017717634,-0.440666278,9.796765518,0.01866007,-0.439800176,-0.45182991,1008.076172,-0.000318,-4.7e-05,-1.22e-06,-0.724628398,0.0147628,0.0169126,0.688773003,0.044862264,-0.001902799,1.621563023,369.0,0.002642155,-0.000942,-0.000866,-62.41071429,3906.125,-39.9988226,-3.081176393,-43.67646969,1,1,1,1,0,99.0,5500.0,1
35,45.0,1.5,1.350277662,11.47500038,0.846720695,244.1966095,106.0,127.3653796,36.3742456,0.0,9.80204134,0.017119065,-0.440187421,9.796636438,0.016770145,-0.442742196,-0.474024963,1008.078833,-0.000104,8.37e-05,0.000179,-0.724653545,0.0149354,0.0169556,0.688741755,0.045162556,-0.00171008,1.6216389,369.0,0.005404902,0.000349,0.002554774,-62.41071429,3906.125,-39.65294019,-3.3317646,-43.10823441,1,1,1,1,0,99.0,5500.0,1
36,45.0,1.5,1.350277662,11.47500038,0.846720695,244.1966095,106.0,127.3653796,36.3742456,0.0,9.809822702,0.017119065,-0.439469139,9.796708965,0.015972251,-0.44116872,-0.469533157,1008.078247,-8.55e-06,-0.000102,2.93e-05,-0.724656302,0.01490955,0.0168694,0.688741595,0.045001935,-0.001628717,1.621641022,369.0,0.013113737,0.001146814,0.00169958,-62.41071429,3906.125,-39.92624927,-3.247499943,-43.56374884,1,1,1,1,0,99.0,5500.0,1
37,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.81101985,0.014006508,-0.440785991,9.796726704,0.015780711,-0.440773401,-0.47032547,1008.078345,-0.000192,-0.000163,2.93e-05,-0.724651903,0.01490285,0.01684795,0.688746753,0.044961584,-0.001609185,1.621626842,369.0,0.014293146,-0.001774203,-1.26e-05,-62.41071429,3906.125,-39.73058701,-3.391764655,-43.71882248,1,1,1,1,0,99.0,5500.0,1
38,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.804315901,0.018196489,-0.438870575,9.796794558,0.01640172,-0.439240839,-0.460284805,1008.077173,-0.000253,-0.000255,0.000151,-0.724672547,0.01482555,0.0168135,0.688727751,0.044805153,-0.001672511,1.621684408,369.0,0.007521343,0.001794769,0.00037,-62.41071429,3906.125,-39.77646974,-3.130588167,-43.78941009,1,1,1,1,0,99.0,5500.0,1
39,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.802280807,0.01280937,-0.442222558,9.79672327,0.017057133,-0.440796387,-0.409817886,1008.071069,-0.000234,-0.000254,-7.75e-05,-0.724642798,0.0148567,0.01689345,0.688756502,0.044963941,-0.001739344,1.621603477,369.0,0.005557537,-0.004247762,-0.001426171,-62.41071429,3906.125,-40.04249883,-3.26624991,-43.74374938,1,1,1,1,0,99.0,5500.0,1
40,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.80647068,0.014844504,-0.444257687,9.796722174,0.018354692,-0.440773927,-0.479045486,1008.079395,-0.000161,-0.000131,-2.02e-05,-0.724579501,0.0148095,0.01693685,0.688822851,0.044961657,-0.001871659,1.621422762,369.0,0.009748507,-0.003510188,-0.00348376,-62.41071429,3906.125,-39.46941084,-3.31764698,-41.94705851,1,1,1,1,0,99.0,5500.0,1
41,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.83173027,0.018196488,-0.439349428,9.796740627,0.016529181,-0.440428592,-0.351951599,1008.06416,0.000114,-3.97e-05,-5.07e-05,-0.724585292,0.0148647,0.01686005,0.688817444,0.044926394,-0.001685508,1.621434343,369.0,0.034989643,0.001667308,0.001079164,-62.41071429,3906.125,-39.57529337,-3.243529348,-42.36352853,1,1,1,1,0,99.0,5500.0,1
42,45.0,1.5,1.320985198,11.4989996,0.89131391,64.53739166,106.0,127.3654292,36.3742646,0.0,9.853757572,0.019034485,-0.439110002,9.796881723,0.016731933,-0.43727569,-0.435712433,1008.074194,0.000206,-3.97e-05,-5.07e-05,-0.724586597,0.0147464,0.01675055,0.688821208,0.044604565,-0.001706183,1.621430773,369.0,0.057115316,0.001584269,-0.002313167,-62.41071429,3906.125,-39.82499933,-3.262499899,-42.47999883,1,1,1,1,0,99.0,5500.0,1
43,45.0,1.5,1.320752621,11.50500011,0.233691677,73.44908905,106.0,127.3654424,36.3742675,0.0,9.847293139,0.015203645,-0.43683544,9.796968794,0.017817955,-0.435280935,-0.37573204,1008.067041,0.000102,-0.000248,0.000237,-0.724612248,0.01463555,0.01671545,0.688797587,0.044400964,-0.001816927,1.621502846,369.0,0.050324345,-0.002614309,-0.001554504,-62.41071429,3906.125,-39.87882278,-3.194117574,-43.1470577,1,1,1,1,0,99.0,5500.0,1
44,45.0,1.5,1.320752621,11.50500011,0.233691677,73.44908905,106.0,127.3654424,36.3742675,0.0,9.821554804,0.01472479,-0.440426852,9.796854973,0.01802972,-0.437826781,-0.338740921,1008.062622,-0.00036,0.000548,-0.000227,-0.724612901,0.01471715,0.0168171,0.68879275,0.044660827,-0.001838521,1.621511561,369.0,0.024699831,-0.00330493,-0.002600071,-62.41071429,3906.125,-39.83294027,-3.32823522,-42.97411661,1,1,1,1,0,99.0,5500.0,1
45,45.0,1.5,1.320752621,11.50500011,0.233691677,73.44908905,106.0,127.3654424,36.3742675,0.0,9.821195555,0.015203645,-0.438152289,9.796900225,0.018570824,-0.436786562,-0.375732422,1008.067065,-0.000329,2.87e-05,0.000261,-0.724606949,0.01466075,0.0167975,0.688800693,0.044554654,-0.001893698,1.621493,369.0,0.02429533,-0.003367179,-0.001365727,-62.41071429,3906.125,-39.956249,-3.404999927,-43.10999942,1,1,1,1,0,99.0,5500.0,1
46,45.0,1.5,1.320752621,11.50500011,0.233691677,73.44908905,106.0,127.3654424,36.3742675,0.0,9.81030159,0.022147042,-0.437793151,9.796883202,0.01918915,-0.437149023,-0.369655228,1008.066309,0.000129,0.000365,0.000292,-0.724595797,0.0146509,0.0168324,0.688811696,0.044591657,-0.00195675,1.621462977,369.0,0.013418388,0.002957892,-0.000644,-62.41071429,3906.125,-39.78705754,-3.310588135,-43.64470493,1,1,1,1,0,99.0,5500.0,1
47,45.0,1.5,1.335846186,11.49400043,0.228078991,242.9677887,106.0,127.3654319,36.3742633,0.0,9.805872154,0.015921928,-0.436476299,9.796831703,0.018615473,-0.438325436,-0.403740311,1008.07041,-2.38e-05,-0.000216,0.00017,-0.724564555,0.0147142,0.0168551,0.688842696,0.044711732,-0.001898251,1.621373838,369.0,0.009040451,-0.002693545,0.001849137,-62.41071429,3906.125,-39.94941061,-3.317646994,-43.7435287,1,1,1,1,0,99.0,5500.0,1
48,45.0,1.5,1.335846186,11.49400043,0.228078991,242.9677887,106.0,127.3654319,36.3742633,0.0,9.802400589,0.017717634,-0.440666278,9.796801805,0.016698348,-0.439067681,-0.387358856,1008.068384,-0.000119,3.08e-05,0.000145,-0.724594849,0.0148104,0.01681585,0.688809603,0.04478748,-0.001702759,1.621459097,369.0,0.005598783,0.001019285,-0.001598597,-62.41071429,3906.125,-39.80249906,-3.086249933,-43.73249865,1,1,1,1,0,99.0,5500.0,1
49,45.0,1.5,1.335846186,11.49400043,0.228078991,242.9677887,106.0,127.3654319,36.3742633,0.0,9.80108366,0.020710477,-0.438990286,9.79673357,0.018662576,-0.440504819,-0.40109787,1008.070044,-0.000125,-0.000205,-0.000294,-0.7246025,0.0147881,0.0169382,0.688799301,0.044934191,-0.001903054,1.621489555,369.0,0.00435009,0.002047901,0.001514533,-62.41071429,3906.125,-39.95294077,-3.296470488,-43.41882279,1,1,1,1,0,99.0,5500.0,1
50,45.0,1.5,1.335846186,11.49400043,0.228078991,242.9677887,106.0,127.3654319,36.3742633,0.0,9.802639961,0.016041641,-0.441025421,9.796718645,0.018943951,-0.440828216,-0.384187317,1008.068115,2.75e-05,-2.2e-05,1.16e-05,-0.72457656,0.0147897,0.0169595,0.688825908,0.044967205,-0.001931747,1.621415746,369.0,0.005921316,-0.00290231,-0.000197,-62.41071429,3906.125,-39.63176346,-3.314117558,-43.27058792,1,1,1,1,0,99.0,5500.0,1
