Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
20,45,1.5,1.812798023,13.63199997,0.168334365,213.8890533,81.5,127.3525845,36.3643536,0,9.78779546,-0.299706869,0.549415651,9.786530542,-0.299869652,0.551616096,-0.426991463,1011.013086,-0.000802,-0.000836,0.001083675,0.527534446,-0.03197415,0.00185925,0.848928896,-0.05630525,0.030582962,-1.111167318,986,-0.000531,-0.00240754,-0.003207445,-69.66666667,3270.055556,-52.36941057,10.32705874,15.24352898,1,1,1,1,0,99,2432,1
21,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.775375187,-0.302576479,0.550533567,9.786390638,-0.30135861,0.553277481,-0.393963051,1011.009082,-0.001168585,-0.000713,0.001114218,0.527776548,-0.0320858,0.0018487,0.848774204,-0.056475277,0.030734865,-1.111735278,986,-0.007214642,-0.001038297,-0.003671697,-69.66666667,3270.055556,-52.54941043,10.18941144,15.08470558,1,1,1,1,0,99,2432,1
22,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.772162213,-0.303227863,0.551809921,9.786441565,-0.301360086,0.552381372,-0.461340904,1011.017236,-0.000774,-0.000996,0.001177382,0.527700543,-0.03204715,0.0018216,0.848823053,-0.05638371,0.030735015,-1.111556023,986,-0.017321539,-0.004508521,-0.001817879,-69.66666667,3270.055556,-52.51874876,10.09124976,15.07499969,1,1,1,1,0,99,2432,1
23,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.768922974,-0.301256104,0.552514122,9.786459589,-0.301188283,0.552154875,-0.394227219,1011.00918,-0.000506,-0.000254,0.000637,0.527750096,-0.0320326,0.0018248,0.84879255,-0.056360536,0.030717488,-1.111672938,986,-0.014945173,-0.000371,-0.00302794,-69.66666667,3270.055556,-52.51058736,10.35882333,15.01411741,1,1,1,1,0,99,2432,1
24,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.769389391,-0.298835425,0.545146454,9.786597157,-0.300569682,0.550054219,-0.39290638,1011.009033,-0.000567,-0.000376,0.000392,0.527593452,-0.03192515,0.00178905,0.848893997,-0.056145778,0.030654378,-1.111304528,986,-0.018315125,0.001045904,-8.93E-05,-69.66666667,3270.055556,-52.53529246,10.11529384,14.95058789,1,1,1,1,0,99,2432,1
25,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.768359465,-0.301115266,0.54997901,9.786524057,-0.301455319,0.550867343,-0.3754673,1011.006934,-0.000293,-0.000346,0.000362,0.527680805,-0.0319841,0.0017759,0.848837802,-0.05622902,0.030744731,-1.111508995,986,-0.018960142,-0.003096434,-0.000663,-69.66666667,3270.055556,-52.49624872,10.06874979,14.67374969,1,1,1,1,0,99,2432,1
26,45,1.5,1.850144625,13.42399979,0.309323192,95.08860779,81.20000458,127.3525985,36.3643529,0,9.768359465,-0.296749234,0.548852289,9.786489391,-0.299842532,0.552363223,-0.37282486,1011.006665,-0.000629,-0.000376,0.000423,0.527591154,-0.0320057,0.0018827,0.848892346,-0.056381587,0.030580195,-1.111301094,986,-0.019045401,0.000199,-0.002757436,-69.66666667,3270.055556,-52.5599989,10.13647046,14.90117612,1,1,1,1,0,99,2432,1
27,45,1.5,1.889380336,12.82400036,0.182904854,150.3492584,81.20000458,127.3526027,36.3643453,0,9.761009276,-0.297488648,0.548288938,9.786401558,-0.303156266,0.552106303,-0.341646004,1011.002905,-2.57E-05,-0.000236,0.000191,0.527892348,-0.03208325,0.00174365,0.848702499,-0.056355922,0.030918262,-1.112004489,986,-0.025661516,0.001477642,-0.004056796,-69.66666667,3270.055556,-52.67646947,10.13294108,15.01764679,1,1,1,1,0,99,2432,1
28,45,1.5,1.889380336,12.82400036,0.182904854,150.3492584,81.20000458,127.3526027,36.3643453,0,9.763852568,-0.301819465,0.547584734,9.786448288,-0.303337057,0.551175663,-0.37943058,1011.007373,3.54E-05,0.00013,7.33E-06,0.527877152,-0.0320478,0.00171015,0.848713452,-0.05626086,0.030936706,-1.111968184,986,-0.019004297,-0.000736,-0.002048737,-69.66666667,3270.055556,-52.1174984,10.22250003,15.09749967,1,1,1,1,0,99,2432,1
29,45,1.5,1.889380336,12.82400036,0.182904854,150.3492584,81.20000458,127.3526027,36.3643453,0,9.761880987,-0.307030538,0.548148092,9.786540222,-0.302839001,0.549811339,-0.426198769,1011.013037,-0.000453,-0.000359,0.000435,0.5277796,-0.0319754,0.00169125,0.848776653,-0.056121365,0.030885894,-1.11173889,986,-0.019096088,-0.002311325,-0.002480116,-69.66666667,3270.055556,-52.63058741,10.13647023,15.24352926,1,1,1,1,0,99,2432,1
